i8200314,Marine Insurance
imarpas,Marine Passenger Transport
i74,Marine Transport
i8395201,Market Research/Opinion Polling
i83952,Market Research/Public Relations
imark,Marketing
i8395401,Marketing Consulting
imkit,Meal Kit/Food Box Retailing
i371,Measuring/Precision Instruments
i4122,Meat Processing
imeatsub,Meat Substitutes
i8395402,Media Buying
idistr,Media Content Distribution
imed,Media/Entertainment
imedaid,Medicaid
iphmed,Medical Devices/Apparatus
idiagn,Medical Diagnostic Equipment/Supplies
i372,Medical Equipment/Supplies
i95105,Medical Laboratory Services
imedres,Medical Research Services
iphlab,Medical/Clinical/Diagnostic Services
iphmm,Medical/Surgical Materials
imedicar,Medicare
imental,Mental Health Care
imetcp,Metal Containers/Packaging
i314,Metal Doors/Windows
i212,Metal Mining Support Activities
i211,Metal Ore Mining
i31,Metal Products
i322,Metalworking Machinery
imicro,Microfinance
imicpr,Microprocessors/DSPs
i3640047,Military Aircraft
i365,Military Armored Vehicles/Parts
i232,Mineral Mining Support Activities
immach,Mining Machinery
imet,Mining/Quarrying
i656,Mixed Retailing
imobsoft,Mobile Applications Software
i34411,Mobile Communications Devices
impay,Mobile Payment Systems
i7902202,Mobile Telecommunications
imtcurr,Money Transfer/Currency Exchange Services
imoins,Mortgage Insurance
imorreit,Mortgage REITs
i8150103,Mortgages/Real Estate Credit
i651,Motor Vehicle Dealing
i353,Motor Vehicle Parts
i351,Motor Vehicles
i36301,Motorcycles
imove,Moving/Relocation Services
i8395465,Multimedia Services
imulti,Multiutilities
i974123,Museums/Historical Sites/Gardens
isopub,Music/Sound Publishing
i97106,Music/Sound Recording
i492,Musical Instruments
i1300013,Natural Gas Exploration
i1300014,Natural Gas Extraction
intgpc,Natural Gas Processing
iexplo,Natural Gas/Oil Exploration
iextra,Natural Gas/Oil Extraction
i36104,Naval Ships
inetwt,Network Monitoring/Testing Tools
i3303,Networking
i6511,New Car Dealing
i6422,News Dealers/Newsstands
i8395461,News Syndicates
i4751,Newspaper Publishing
inewpr,Newspaper/Magazine Printing
inonal,Non-alcoholic Beverages/Drinks
i010020603,Non-citrus Fruit/Tree Nut Farming
inondhg,Nondurable Household Products
i226,Non-ferrous Metal Foundries
infmore,Non-ferrous Metal Ore Mining
i224,Non-ferrous Metals
i4131,Non-frozen Dairy Products
i82003,Non-life Insurance
i231,Non-metallic Mineral Mining/Quarrying
i5010023,Non-residential Building Construction
i657,Non-store Retailing
i15,Nuclear Fuel
i1610109,Nuclear Power Generation
i843,Office Equipment Rental
ioffeq,Office Equipment/Supplies
i458,Office Furniture
i8500021,Office Real Estate
i4954,Office Supplies (excluding paper)
i6532,Office Supplies/Gift Stores
i1300002,Oil Exploration
i5020022,Oil Production Platform Construction
iuod,Oil Sands/Shale
i3251,Oil/Gas Field Machinery
imidstr,Oil/Natural Gas Midstream Operations
i0100132,Oilseed/Grain Farming
ionlauc,Online Auctions
i83105,Online Brokers/After Hours Trading
ionlgam,Online Gambling
iint,Online Service Providers
i7505,Online Tourism Reservation Services
i81404,Online/Direct Banking
i6540005,Optical Goods Stores/Opticians
i373,Optical Instruments
i2582,Oral Care Products
iofarm,Organic Farming
iorgf,Organic Food
iphpro,Orthopedic/Prosthetic Implants/Devices
ioutad,Outdoor Advertising
